Find total sum of Rural polulation in   each state,
Row Labels,Sum of Rural Population
Andaman and Nicobar Islands,244411
"177,710",244411
Andhra Pradesh,56361702
"42,138,631",56361702
Arunachal Pradesh,1069165
"669,815",1069165
Assam,26780526
"15,266,133",26780526
Bihar,92075028
"49,821,295",92075028
Chandigarh,29004
"474,787",29004
Chhattisgarh,19603658
"12,712,303",19603658
Dadra and Nagar Haveli,183024
"149,949",183024
Daman and Diu,60331
"92,946",60331
Delhi,944727
"7,800,615",944727
Goa,551414
"719,405",551414
Gujarat,34670817
"28,948,432",34670817
Haryana,16531493
"11,856,728",16531493
Himachal Pradesh,6167805
"3,382,729",6167805
Jammu and Kashmir,9134820
"5,900,640",9134820
Jharkhand,25036946
"16,057,819",25036946
Karnataka,37552529
"30,128,640",37552529
Kerala,17445506
"17,378,649",17445506
Lakshadweep,14121
"31,350",14121
Madhya Pradesh,52537899
"35,014,503",52537899
Maharashtra,61545441
"54,131,277",61545441
Manipur,1899624
"1,280,219",1899624
Meghalaya,2368971
"1,475,057",2368971
Mizoram,529037
"541,867",529037
Nagaland,1406861
"953,853",1406861
Odisha,34951234
"20,762,082",34951234
Puducherry,394341
"635,442",394341
Punjab,17316800
"13,103,873",17316800
Rajasthan,51540236
"32,997,440",51540236
Sikkim,455962
"287,507",455962
Tamil Nadu,37189229
"36,009,055",37189229
Tripura,2710051
"1,799,541",2710051
Uttar Pradesh,155111022
"95,331,831",155111022
Uttarakhand,7025583
"4,948,519",7025583
West Bengal,62213676
"44,467,088",62213676
Grand Total,833652994
