Postal Code,Region,Category,Sub-Category,Sales,Quantity
42420,South,Furniture,Bookcases,261.96,2
42420,South,Furniture,Chairs,731.94,3
90036,West,Office Supplies,Labels,14.62,2
33311,South,Furniture,Tables,957.5775,5
33311,South,Office Supplies,Storage,22.368,2
90032,West,Furniture,Furnishings,48.86,7
90032,West,Office Supplies,Art,7.28,4
90032,West,Technology,Phones,907.152,6
90032,West,Office Supplies,Binders,18.504,3
90032,West,Office Supplies,Appliances,114.9,5
90032,West,Furniture,Tables,1706.184,9
90032,West,Technology,Phones,911.424,4
28027,South,Office Supplies,Paper,15.552,3
98103,West,Office Supplies,Binders,407.976,3
76106,Central,Office Supplies,Appliances,68.81,5
76106,Central,Office Supplies,Binders,2.544,3
53711,Central,Office Supplies,Storage,665.88,6
84084,West,Office Supplies,Storage,55.5,2
94109,West,Office Supplies,Art,8.56,2
94109,West,Technology,Phones,213.48,3
94109,West,Office Supplies,Binders,22.72,4
68025,Central,Office Supplies,Art,19.46,7
68025,Central,Office Supplies,Appliances,60.34,7
19140,East,Furniture,Chairs,71.372,2
84057,West,Furniture,Tables,1044.63,3
90049,West,Office Supplies,Binders,11.648,2
90049,West,Technology,Accessories,90.57,3
19140,East,Furniture,Bookcases,3083.43,7
19140,East,Office Supplies,Binders,9.618,2
19140,East,Furniture,Furnishings,124.2,3
19140,East,Office Supplies,Envelopes,3.264,2
19140,East,Office Supplies,Art,86.304,6
19140,East,Office Supplies,Binders,6.858,6
19140,East,Office Supplies,Art,15.76,2
77095,Central,Office Supplies,Paper,29.472,3
75080,Central,Technology,Phones,1097.544,7
75080,Central,Furniture,Furnishings,190.92,5
77041,Central,Office Supplies,Envelopes,113.328,9
77041,Central,Furniture,Bookcases,532.3992,3
77041,Central,Furniture,Chairs,212.058,3
77041,Central,Technology,Phones,371.168,4
60540,Central,Technology,Phones,147.168,4
90049,West,Office Supplies,Storage,77.88,2
32935,South,Office Supplies,Storage,95.616,2
55122,Central,Technology,Accessories,45.98,2
55122,Central,Office Supplies,Binders,17.46,2
48185,Central,Office Supplies,Storage,211.96,4
19901,East,Technology,Accessories,45,3
19901,East,Technology,Phones,21.8,2
47150,Central,Office Supplies,Binders,38.22,6
47150,Central,Office Supplies,Labels,75.18,6
47150,Central,Furniture,Furnishings,6.16,2
47150,Central,Furniture,Chairs,89.99,1
10024,East,Office Supplies,Fasteners,15.26,7
10024,East,Technology,Phones,1029.95,5
12180,East,Office Supplies,Storage,208.56,6
12180,East,Office Supplies,Paper,32.4,5
12180,East,Furniture,Chairs,319.41,5
12180,East,Office Supplies,Paper,14.56,2
12180,East,Technology,Accessories,30,2
12180,East,Office Supplies,Binders,48.48,4
12180,East,Office Supplies,Art,1.68,1
90004,West,Technology,Accessories,13.98,2
90004,West,Office Supplies,Binders,25.824,6
90004,West,Office Supplies,Paper,146.73,3
90004,West,Furniture,Furnishings,79.76,4
60610,Central,Furniture,Chairs,213.115,5
85234,West,Office Supplies,Art,1113.024,8
85234,West,Technology,Phones,167.968,4
22153,South,Office Supplies,Paper,75.88,2
10009,East,Office Supplies,Binders,4.616,1
49201,Central,Office Supplies,Paper,19.05,3
38109,South,Furniture,Chairs,831.936,8
38109,South,Furniture,Furnishings,97.04,2
38109,South,Office Supplies,Storage,72.784,1
77041,Central,Office Supplies,Binders,1.248,3
77041,Central,Furniture,Furnishings,9.708,3
77041,Central,Office Supplies,Storage,27.24,3
77070,Central,Furniture,Furnishings,19.3,5
35601,South,Office Supplies,Appliances,208.16,1
35601,South,Office Supplies,Binders,16.74,3
94122,West,Office Supplies,Art,14.9,5
94122,West,Office Supplies,Storage,21.39,1
27707,South,Office Supplies,Envelopes,200.984,7
60623,Central,Office Supplies,Storage,230.376,3
29203,South,Furniture,Chairs,301.96,2
55901,Central,Technology,Accessories,19.99,1
55901,Central,Office Supplies,Labels,6.16,2
77095,Central,Office Supplies,Storage,158.368,7
90036,West,Office Supplies,Art,20.1,3
90036,West,Technology,Phones,73.584,2
90036,West,Office Supplies,Paper,6.48,1
55407,Central,Office Supplies,Paper,12.96,2
55407,Central,Furniture,Furnishings,53.34,3
55407,Central,Office Supplies,Binders,32.96,2
97206,West,Office Supplies,Binders,5.682,1
10009,East,Furniture,Furnishings,96.53,7
94122,West,Office Supplies,Binders,51.312,3
55106,Central,Office Supplies,Appliances,77.88,6
60610,Central,Office Supplies,Paper,64.624,7
60610,Central,Technology,Accessories,95.976,3
60610,Central,Office Supplies,Binders,1.788,3
55901,Central,Office Supplies,Paper,23.92,4
80013,West,Technology,Accessories,238.896,6
80013,West,Furniture,Furnishings,102.36,3
80013,West,Office Supplies,Binders,36.882,3
28205,South,Technology,Accessories,74.112,8
28205,South,Technology,Phones,27.992,1
28205,South,Office Supplies,Art,3.304,1
60462,Central,Technology,Accessories,339.96,5
10035,East,Furniture,Furnishings,41.96,2
50322,Central,Office Supplies,Art,75.96,2
50322,Central,Office Supplies,Binders,27.24,6
